id,user_id,order_date,status
1,1,2018-01-01,returned
2,3,2018-01-02,completed
3,94,2018-01-04,completed
4,50,2018-01-05,completed
5,64,2018-01-05,completed
6,54,2018-01-07,completed
7,88,2018-01-09,completed
8,2,2018-01-11,returned
9,53,2018-01-12,completed
10,7,2018-01-14,completed
11,99,2018-01-14,completed
12,59,2018-01-15,completed
13,84,2018-01-17,completed
14,40,2018-01-17,returned
15,25,2018-01-17,completed
16,39,2018-01-18,completed
17,71,2018-01-18,completed
18,64,2018-01-20,returned
19,54,2018-01-22,completed
20,20,2018-01-23,completed
21,71,2018-01-23,completed
22,86,2018-01-24,completed
23,22,2018-01-26,return_pending
24,3,2018-01-27,completed
25,51,2018-01-28,completed
26,32,2018-01-28,completed
27,94,2018-01-29,completed
28,8,2018-01-29,completed
29,57,2018-01-31,completed
30,69,2018-02-02,completed
31,16,2018-02-02,completed
32,28,2018-02-04,completed
33,42,2018-02-04,completed
34,38,2018-02-06,completed
35,80,2018-02-08,completed
36,85,2018-02-10,completed
37,1,2018-02-10,completed
38,51,2018-02-10,completed
39,26,2018-02-11,completed
40,33,2018-02-13,completed
41,99,2018-02-14,completed
42,92,2018-02-16,completed
43,31,2018-02-17,completed
44,66,2018-02-17,completed
45,22,2018-02-17,completed
46,6,2018-02-19,completed
47,50,2018-02-20,completed
48,27,2018-02-21,completed
49,35,2018-02-21,completed
50,51,2018-02-23,completed
51,71,2018-02-24,completed
52,54,2018-02-25,return_pending
53,34,2018-02-26,completed
54,54,2018-02-26,completed
55,18,2018-02-27,completed
56,79,2018-02-28,completed
57,93,2018-03-01,completed
58,22,2018-03-01,completed
59,30,2018-03-02,completed
60,12,2018-03-03,completed
61,63,2018-03-03,completed
62,57,2018-03-05,completed
63,70,2018-03-06,completed
64,13,2018-03-07,completed
65,26,2018-03-08,completed
66,36,2018-03-10,completed
67,79,2018-03-11,completed
68,53,2018-03-11,completed
69,3,2018-03-11,completed
70,8,2018-03-12,completed
71,42,2018-03-12,shipped
72,30,2018-03-14,shipped
73,19,2018-03-16,completed
74,9,2018-03-17,shipped
75,69,2018-03-18,completed
76,25,2018-03-20,completed
77,35,2018-03-21,shipped
78,90,2018-03-23,shipped
79,52,2018-03-23,shipped
80,11,2018-03-23,shipped
81,76,2018-03-23,shipped
82,46,2018-03-24,shipped
83,54,2018-03-24,shipped
84,70,2018-03-26,placed
85,47,2018-03-26,shipped
86,68,2018-03-26,placed
87,46,2018-03-27,placed
88,91,2018-03-27,shipped
89,21,2018-03-28,placed
90,66,2018-03-30,shipped
91,47,2018-03-31,placed
92,84,2018-04-02,placed
93,66,2018-04-03,placed
94,63,2018-04-03,placed
95,27,2018-04-04,placed
96,90,2018-04-06,placed
97,89,2018-04-07,placed
98,41,2018-04-07,placed
99,85,2018-04-09,placed
100,1332,2024-03-15,return_pending
101,811,2022-07-24,return_pending
102,449,2024-11-10,returned
103,717,2022-06-05,shipped
104,1154,2023-07-15,returned
105,2935,2019-08-06,completed
106,2271,2022-09-03,returned
107,976,2023-09-19,return_pending
108,2868,2020-07-03,completed
109,1750,2021-12-27,returned
110,1202,2023-01-05,completed
111,1960,2022-12-14,completed
112,1577,2023-10-15,shipped
113,126,2023-10-09,placed
114,2483,2023-08-11,completed
115,3085,2019-06-29,completed
116,1607,2024-04-04,returned
117,1437,2024-09-06,placed
118,2645,2023-06-07,placed
119,185,2020-03-27,completed
120,842,2024-08-18,return_pending
121,2770,2024-04-03,completed
122,679,2021-04-29,shipped
123,2411,2022-04-29,return_pending
124,1767,2021-03-10,return_pending
125,345,2020-04-18,return_pending
126,1773,2022-08-24,return_pending
127,421,2021-02-03,shipped
128,1248,2021-11-25,completed
129,1879,2023-09-28,shipped
130,2768,2019-11-15,shipped
131,581,2024-03-10,returned
132,897,2021-04-09,placed
133,2942,2022-08-19,returned
134,2890,2023-03-20,returned
135,2877,2022-11-24,completed
136,1652,2024-04-25,completed
137,2499,2019-03-30,returned
138,894,2020-10-20,placed
139,1223,2022-10-04,placed
140,216,2023-07-12,completed
141,3082,2021-05-28,placed
142,2636,2020-06-18,shipped
143,1535,2023-07-16,returned
144,2197,2023-12-07,completed
145,1514,2019-01-16,shipped
146,2600,2024-09-30,completed
147,1746,2020-01-23,return_pending
148,2016,2024-09-20,placed
149,2597,2024-11-09,shipped
150,1187,2024-09-02,return_pending
151,255,2021-03-08,completed
152,2360,2019-12-10,shipped
153,1118,2022-02-02,shipped
154,2773,2024-10-15,placed
155,2919,2021-01-29,returned
156,1948,2021-11-15,return_pending
157,616,2022-08-20,completed
158,1507,2019-08-12,completed
159,1868,2022-06-18,returned
160,1072,2024-10-24,placed
161,1090,2022-05-05,return_pending
162,969,2024-04-15,placed
163,948,2023-05-24,return_pending
164,2464,2024-04-01,shipped
165,1602,2024-01-26,completed
166,2867,2024-06-15,placed
167,2265,2023-12-01,returned
168,310,2019-10-01,returned
169,1908,2021-12-12,completed
170,1776,2021-05-15,completed
171,1611,2022-07-05,placed
172,449,2022-03-13,shipped
173,183,2019-03-29,return_pending
174,2105,2024-08-23,shipped
175,425,2023-06-19,returned
176,2900,2023-08-25,returned
177,854,2019-04-15,placed
178,2454,2024-03-13,return_pending
179,1472,2021-07-03,returned
180,363,2020-09-02,returned
181,2894,2024-03-16,placed
182,729,2023-08-18,placed
183,773,2022-07-23,shipped
184,2253,2023-06-21,placed
185,2253,2020-06-16,placed
186,2669,2024-10-25,placed
187,1095,2022-08-19,placed
188,2299,2022-08-26,return_pending
189,2556,2021-09-19,shipped
190,520,2022-06-18,completed
191,1349,2020-03-27,returned
192,1223,2019-05-01,return_pending
193,2050,2024-08-05,placed
194,1206,2021-06-28,placed
195,1982,2020-04-25,returned
196,1708,2022-06-01,shipped
197,2379,2019-07-13,shipped
198,1545,2021-01-06,return_pending
199,2308,2021-05-05,completed
200,968,2021-10-14,shipped
201,1472,2022-05-02,completed
202,175,2019-10-19,returned
203,422,2021-06-16,shipped
204,1915,2019-11-02,returned
205,205,2022-08-30,placed
206,1686,2023-11-05,return_pending
207,2213,2023-03-13,return_pending
208,2800,2023-03-18,returned
209,2685,2020-05-24,returned
210,1882,2021-08-19,return_pending
211,3041,2020-03-20,returned
212,2079,2022-08-28,return_pending
213,2287,2019-09-21,return_pending
214,959,2021-11-13,placed
215,2412,2023-03-15,return_pending
216,2466,2023-03-31,returned
217,1413,2020-11-05,returned
218,549,2019-05-18,returned
219,1889,2019-03-31,return_pending
220,2202,2020-02-05,return_pending
221,2962,2021-02-19,shipped
222,2152,2023-01-18,completed
223,2715,2019-05-09,shipped
224,143,2024-12-06,placed
225,1316,2019-02-25,placed
226,1805,2021-04-17,returned
227,1561,2023-08-15,placed
228,1275,2021-11-26,placed
229,3013,2023-02-26,return_pending
230,2788,2021-10-03,placed
231,2484,2024-05-23,placed
232,1969,2020-12-16,return_pending
233,985,2020-09-01,shipped
234,354,2020-01-01,placed
235,1944,2024-03-11,return_pending
236,588,2019-05-02,return_pending
237,2108,2019-08-27,placed
238,668,2022-11-15,completed
239,552,2020-01-18,returned
240,1253,2019-06-01,placed
241,2942,2022-04-15,completed
242,892,2021-07-04,shipped
243,773,2020-05-25,returned
244,1294,2021-03-01,shipped
245,953,2024-08-06,shipped
246,154,2021-10-16,shipped
247,1603,2023-05-21,shipped
248,800,2021-10-26,placed
249,489,2019-11-04,returned
250,2920,2019-09-06,return_pending
251,2331,2024-10-01,return_pending
252,2459,2022-08-29,placed
253,1466,2022-10-24,returned
254,1009,2020-03-10,returned
255,382,2022-08-24,return_pending
256,1643,2022-10-03,returned
257,1600,2023-11-27,placed
258,2847,2022-07-27,placed
259,2794,2020-05-16,returned
260,858,2019-07-20,shipped
261,837,2019-12-13,completed
262,1174,2024-05-28,return_pending
263,668,2022-07-05,returned
264,1181,2024-02-25,placed
265,2125,2024-02-06,completed
